PacketCounter,HE_Acc_X,HE_Acc_Y,HE_Acc_Z,HE_Gyr_X,HE_Gyr_Y,HE_Gyr_Z
0.0,9.427890909938794,1.2900853724185581,2.5133423511166693,1.091518863329934,0.33860077107449166,0.20684505032793837
1.0,9.358937558373238,1.3650235146839125,2.5132634575575574,1.036158891467959,0.32211423516920473,0.2103253821653108
2.0,9.314071901771914,1.4216007470564915,2.5131229048160497,0.9786129157436866,0.3037530208458044,0.21311383372734738
3.0,9.305396767638834,1.4496552844849397,2.5141676115107434,0.9177780801214507,0.2827354302206805,0.21528098220702233
4.0,9.328134239294453,1.450429745771576,2.518997338291379,0.8541397933353562,0.25987363677145253,0.21789418581218217
5.0,9.365039728894079,1.433231740378916,2.530324005680891,0.7893596674218112,0.2371947027964061,0.22242465741576364
6.0,9.396855609173807,1.4080724941028178,2.5492123204301014,0.7253095880404978,0.21697651528894443,0.2297012117140561
7.0,9.412202049214248,1.3791707074064063,2.5740642983112503,0.663210444913522,0.20078464084707623,0.23906863067012984
8.0,9.411474349684664,1.3432698149663542,2.6011194859697047,0.603408599230418,0.18900768154834535,0.24828935738067745
9.0,9.40369283016776,1.293385214119725,2.6262062215111084,0.545845500355884,0.18101506530526487,0.2542770155913042
