sensor_subset,sensors,n_sensors,n_features,auc_mean,auc_std,auc_ci_low,auc_ci_high
head+lowerback,"head, lower_back",2,380,0.9446208422154262,0.013623874501855647,0.9251776070090024,0.9604792979439568
head+lowerback+rightfoot,"head, lower_back, right_foot",3,408,0.9445111964967972,0.014146397950735887,0.9227078178677016,0.9604889565659096
head+rightfoot,"head, right_foot",2,204,0.9436449878980648,0.015588854946876523,0.9181483287824812,0.9611294171640823
head+lowerback+leftfoot+rightfoot,"head, lower_back, left_foot, right_foot",4,464,0.942635033286464,0.01503121677448183,0.921232817119445,0.9587883710659137
head+lowerback+leftfoot,"head, lower_back, left_foot",3,408,0.9420088737052998,0.011939921719330768,0.9239187588751542,0.9553817612062319
head,head,1,176,0.9420019819267511,0.019479574959818124,0.9102204699886529,0.9618925662817606
head+leftfoot+rightfoot,"head, left_foot, right_foot",3,260,0.9400537953196899,0.011332493341651383,0.9212148090781812,0.9522117549560025
head+leftfoot,"head, left_foot",2,204,0.9393098218034197,0.011664519686455202,0.9201771487221131,0.9497556221962531
lowerback+rightfoot,"lower_back, right_foot",2,220,0.9218650038760501,0.024941961902311145,0.9022630416961813,0.9650004918869474
lowerback,lower_back,1,192,0.9199654229127872,0.02390300007957931,0.902923080167376,0.9617265750889927
lowerback+leftfoot+rightfoot,"lower_back, left_foot, right_foot",3,276,0.9192679843894819,0.025226375379936068,0.8993971671006555,0.9626704357786104
lowerback+leftfoot,"lower_back, left_foot",2,220,0.917873896857118,0.028217306679056135,0.8919541884076767,0.9661361282583496
leftfoot+rightfoot,"left_foot, right_foot",2,84,0.8694441570591561,0.038169226683954866,0.8134452683580591,0.90921308485131
rightfoot,right_foot,1,28,0.856052024445629,0.0418110963937991,0.8134721245331711,0.9209699802916118
leftfoot,left_foot,1,28,0.8452813075043958,0.02837758522225523,0.7974056997157438,0.8722196868673354
