feature,mean_abs_shap,std_abs_shap
lb_sampen_mean,0.0,0.0
lb_sampen_std,0.0,0.0
lb_sampen_range,0.0,0.0
lb_sampen_trend,0.0,0.0
lb_dfa_mean,0.0,0.0
lb_dfa_std,0.0,0.0
lb_dfa_range,0.0,0.0
lb_dfa_trend,0.0,0.0
head_sampen_mean,0.0,0.0
head_sampen_std,0.0,0.0
head_sampen_range,0.0,0.0
head_sampen_trend,0.0,0.0
head_dfa_mean,0.0,0.0
head_dfa_std,0.0,0.0
head_dfa_range,0.0,0.0
head_dfa_trend,0.0,0.0
head_lb_dfa_ratio_mean,0.0,0.0
head_lb_dfa_ratio_std,0.0,0.0
head_lb_dfa_ratio_range,0.0,0.0
head_lb_dfa_ratio_trend,0.0,0.0
