cohort,n_participants,n_trials,age_mean,age_sd,age_mean_sd,n_age_reported,n_female,n_male,n_sex_reported,sex_ratio,laterality
Healthy,73,359,39.75342465753425,20.18303799805793,39.8 ± 20.2,73,32,41,73,32 F / 41 M (44% F),Right (68); Left (5)
HipOA,15,74,69.73333333333333,13.188017649510845,69.7 ± 13.2,15,8,7,15,8 F / 7 M (53% F),Right (15)
KneeOA,18,78,69.72222222222223,13.671806780875553,69.7 ± 13.7,18,11,7,18,11 F / 7 M (61% F),Right (17); Left (1)
ACL,11,60,36.72727272727273,11.94228545204735,36.7 ± 11.9,11,4,7,11,4 F / 7 M (36% F),Right (9); Left (2)
PD,33,169,74.25,11.375985384935271,74.2 ± 11.4,24,7,17,24,7 F / 17 M (29% F),Right (20)
CVA,49,128,58.97959183673469,9.465925284756828,59.0 ± 9.5,49,12,37,49,12 F / 37 M (24% F),Right (47); Left (2)
CIPN,19,98,63.36842105263158,10.542035046611096,63.4 ± 10.5,19,9,10,19,9 F / 10 M (47% F),Right (16); Ambidextrous (1)
RIL,51,398,59.84,13.83482739247555,59.8 ± 13.8,50,23,28,51,23 F / 28 M (45% F),Right (41); Left (4); Ambidextrous (1)
Total,269,1364,55.88803088803089,19.167939246167776,55.9 ± 19.2,259,106,154,260,106 F / 154 M (41% F),Right (233); Left (14); Ambidextrous (2)
